customer_id,customer_fname,customer_lname,revenue_per_customer
7,Melissa,Wilcox,4139.68
4618,Andrea,Smith,3209.6900000000005
603,Austin,Smith,3189.81
2555,Mary,Long,3164.6
3758,Scott,Smith,3134.7900000000004
5583,Mary,Skinner,3014.5899999999997
9676,Theresa,Smith,2999.82
5267,Mary,Smith,2999.6600000000003
11901,Mary,Smith,2929.8399999999997
3465,Mary,Gardner,2929.7400000000002
3610,Jordan,Smith,2919.74
1512,Mary,Rowe,2829.66
8156,Hannah,Smith,2809.63
3710,Ashley,Smith,2739.8199999999997
11513,David,Smith,2699.61
1780,Larry,Sharp,2689.6500000000005
6404,Dylan,Smith,2689.54
11056,Larry,Booker,2685.7799999999997
4436,Janice,Smith,2669.81
10926,Mary,Smith,2649.6700000000005
986,Catherine,Hawkins,2629.8999999999996
10278,Mary,Farrell,2623.76
1847,Mary,Smith,2589.87
7954,Danielle,Smith,2589.8199999999997
341,Mary,Smith,2554.6400000000003
467,James,Smith,2529.75
2444,Kenneth,Smith,2519.79
2476,Gerald,Smith,2519.7400000000002
2373,Mary,Smith,2519.7100000000005
10013,Jessica,Smith,2479.77
9176,Theresa,Smith,2469.83
1851,Mary,Smith,2459.75
10511,Katherine,Smith,2456.6600000000003
2602,Jacob,Smith,2449.6000000000004
9435,Mary,Garcia,2439.79
10896,Victoria,Smith,2419.78
7233,Christine,Potter,2414.8500000000004
5594,Mary,Davidson,2379.82
3199,Ashley,Hernandez,2354.66
10815,Dennis,Smith,2343.7799999999997
757,Jane,Smith,2319.76
1971,Richard,Stokes,2319.7000000000003
11306,Gerald,Beasley,2289.6
8523,Melissa,Lee,2279.74
9697,Stephen,Williams,2269.7000000000003
4806,Mary,Smith,2225.67
11503,Juan,Curry,2221.84
5481,Mary,Hall,2219.7900000000004
6259,Samantha,Morales,2199.81
1832,Mary,Valenzuela,2199.6600000000003
7974,Mary,Shaw,2194.8
664,Bobby,Jimenez,2189.8900000000003
6708,Mary,Costa,2189.8
3635,Catherine,Flowers,2189.7200000000003
7982,Ronald,Hall,2171.79
9394,Nancy,Smith,2169.76
6269,Charles,Phelps,2159.7400000000002
5204,Andrew,Smith,2149.85
3031,Carol,Smith,2129.78
8135,Mary,Stevens,2118.79
10969,Mary,Tran,2099.82
4298,Walter,Reyes,2089.8
8622,Shirley,Smith,2079.79
5954,Amy,Smith,2069.81
5951,Brenda,Oconnell,2064.6400000000003
10617,Ruth,Smith,2059.87
11450,Donald,Nelson,2059.8100000000004
7790,Edward,Castaneda,2059.79
11124,Mary,Bowman,2059.79
8339,Richard,Smith,2035.72
7439,Mary,Flores,2019.71
5217,David,Smith,2009.8000000000002
10042,Christopher,Hatfield,2009.7900000000002
192,Mary,Hall,2009.74
5073,Mary,Frazier,2009.7200000000003
10932,Michael,Gonzales,2007.7300000000002
11318,Mary,Henry,2003.8400000000001
4333,Janet,Smith,2001.74
3316,Mary,Oconnor,1999.8400000000001
1151,Mary,Griffith,1999.8300000000002
9727,Mary,Cruz,1993.8500000000001
2365,Sara,Smith,1989.88
3656,Willie,Smith,1989.69
5200,Jennifer,Little,1969.75
11829,Steven,Smith,1969.6200000000001
3943,Mary,Butler,1959.72
7016,Jack,Sloan,1954.7800000000002
3128,Karen,Turner,1949.7000000000003
7547,Andrea,Ortega,1948.7500000000002
3482,Mary,Horton,1929.9
11851,Mary,Shepherd,1929.7900000000002
11736,Jeffrey,Smith,1925.8600000000001
11789,Mary,Smith,1919.8100000000002
4605,Andrew,Horne,1919.81
3600,Jennifer,Smith,1913.7300000000002
8678,Shirley,Buchanan,1909.8100000000002
6737,Joyce,Smith,1909.7900000000002
7758,Joyce,Howe,1909.7600000000002
2537,Mary,Smith,1899.9
558,Michael,Mclaughlin,1899.83
4350,Mary,Turner,1889.88
9001,Mary,Smith,1889.7900000000002
3155,Mary,Haas,1889.7200000000003
2485,Mary,Hernandez,1883.83
12431,Mary,Rios,1879.8600000000001
4849,Teresa,Baxter,1879.73
5321,Robert,Rowe,1859.8400000000001
688,Kathy,Gross,1859.8100000000002
9039,Amber,Wall,1859.7100000000003
1782,Robert,Smith,1849.8000000000002
11888,Frank,Barrett,1849.77
10052,Mary,Aguilar,1844.6600000000003
8203,Nicole,Harrison,1839.76
1824,Julia,Tucker,1829.8400000000001
2484,Sarah,Smith,1829.77
3442,Mary,Henson,1829.65
254,Diana,Hale,1809.8500000000001
11077,Andrew,Smith,1804.89
3051,John,Johnson,1799.9
1528,Anthony,Smith,1799.81
6899,Mary,Smith,1799.7600000000002
10146,Andrew,Smith,1799.75
10880,Mary,Petty,1789.8000000000002
8652,Kenneth,Newman,1789.7800000000002
7174,Kenneth,Smith,1779.9
9181,Mary,Smith,1779.88
649,Mary,Smith,1779.8500000000001
1571,Betty,Bishop,1779.8300000000002
11677,Christine,Smith,1779.8200000000002
4249,Mary,Butler,1779.6700000000003
11741,Mary,Smith,1776.65
4992,Grace,Smith,1774.8200000000002
3745,Kimberly,Smith,1774.8100000000002
1864,Deborah,Smith,1769.85
4987,Mary,Smith,1769.7800000000002
8737,Mary,Smith,1763.8500000000001
10898,James,Knight,1761.8300000000002
5424,Mary,Howard,1759.8300000000002
10387,Mary,Wheeler,1759.8200000000002
2224,Ann,Mercado,1749.8600000000001
3262,Mary,Brewer,1749.7400000000002
11983,Mary,Bell,1749.74
4749,Michelle,Terry,1744.78
9945,Mary,Cameron,1739.88
6921,Willie,Stafford,1739.8100000000002
1762,Nicholas,Smith,1739.7800000000002
10508,Angela,Meadows,1739.78
4089,Samantha,Nunez,1729.8700000000001
10558,Christine,Smith,1729.8300000000002
3935,Harold,Hayes,1729.75
7942,Jacob,Gonzalez,1719.88
11224,Mary,Smith,1713.63
2502,Mary,Smith,1709.89
8814,Brian,Sexton,1709.8400000000001
3951,Michael,Smith,1709.77
8986,Mary,Smith,1709.7300000000002
11733,Christopher,Chan,1704.8300000000002
12059,Shawn,Clark,1699.89
3800,Shawn,Smith,1699.88
4536,Mary,Griffin,1699.8700000000001
5654,Jerry,Smith,1695.6900000000003
5773,Mary,Ellis,1689.9
11426,Mary,Smith,1689.8600000000001
3593,Christina,Lewis,1689.8100000000002
7996,Mary,Lindsey,1689.7900000000002
2303,Brittany,Smith,1679.9
1374,Patricia,Lin,1679.88
6138,Theresa,Khan,1679.7900000000002
9603,Mary,Moore,1669.8000000000002
6637,Eric,Richardson,1669.7400000000002
3266,Mary,Salinas,1668.8000000000002
10083,Mary,Cooper,1659.89
10598,Jason,Smith,1659.8200000000002
24,Mary,Smith,1659.72
1020,Mary,Vargas,1643.74
5622,Ronald,Hall,1639.91
6957,James,Knight,1639.9
539,Marilyn,Smith,1639.89
8876,Timothy,Smith,1639.88
4969,Mary,Smith,1639.8400000000001
5517,Mary,Wagner,1639.8000000000002
3977,Mary,Smith,1634.8700000000001
1814,Mary,Skinner,1629.89
11134,Robert,Lopez,1629.8700000000001
9883,Michelle,Waters,1629.8600000000001
620,Roger,Smith,1629.84
